RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
129.971200,-52.966400,VXR_12,IC2391,50,144.5,11.86,0.840,-,10.343,9.887,9.793,AAA,2.038,-,-,-,29.621,-,-,P03,3.86,-,-,P03,P03,0.894,0.8135,4997,0.697,0.4161,-3.584,-,-,-,V0364_Vel,08395305-5257569,3.698709349442587,-0.38080228420705264,-0.048662481204082314,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
130.357830,-53.378220,VXR_35a,IC2391,50,144.5,12.56,0.990,-,10.424,9.876,9.691,AAA,2.84,-,-,-,30.101,-,-,P03,0.53,-,-,P03,P03,0.816,0.7708,4725,0.666,0.3021,-2.965,-,-,-,V0366_Vel,08412588-5322415,3.674401812845282,-0.5198492747267196,-0.08830984124613889,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
130.415400,-52.992800,VXR_38a,IC2391,50,144.5,13.36,1.230,-,10.730,10.129,9.965,AAA,3.366,-,-,-,29.631,-,-,P03,2.78,-,-,P03,P03,0.742,0.698,4375,0.615,0.1998,-3.255,-,-,-,V0367_Vel,08413966-5259340,3.640978057358332,-0.6994045161100365,-0.12959609472097292,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
130.491200,-52.871400,VXR_41,IC2391,50,144.5,13.57,1.250,-,11.095,10.401,10.270,AAA,3.271,-,-,-,29.651,-,-,P03,5.8,-,-,P03,P03,0.709,0.6618,4208,0.615,0.1552,-3.126,-,-,-,-,08415784-5252139,3.6240757311456826,-0.8091082830778303,-0.14935376481693347,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
130.520536,-52.898327,VXR_42a,IC2391,50,144.5,15.88,1.540,-,12.046,11.391,11.144,AAA,4.707,-,-,-,29.341,-,-,P03,1.81,-,-,P03,P03,0.456,0.4733,3742,0.478,0.04982,-2.942,-,-,-,-,-,3.573103783163991,-1.3025962767995123,-0.341035157335565,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
130.577330,-53.032470,VXR_47,IC2391,50,144.5,13.96,1.430,-,10.743,10.080,9.886,AAA,4.045,-,-,-,29.561,-,-,P03,0.26,-,-,P03,P03,0.731,0.6859,4319,0.615,0.1848,-3.291,-,-,-,V0371_Vel,08421855-5301569,3.6353832040474985,-0.7332980331159121,-0.13608262304213956,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
130.872040,-52.691220,VXR_62a,IC2391,50,144.5,11.73,0.850,-,10.120,9.638,9.503,AAA,2.198,-,-,-,30.031,-,-,P03,0.5,-,-,P03,P03,0.932,0.8421,5125,0.697,0.4998,-3.253,-,-,-,V0374_Vel,08432928-5241284,3.7096938697277917,-0.30120374820956874,-0.030584087646018616,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
131.109000,-52.709000,VXR_72,IC2391,50,144.5,11.46,0.720,-,10.018,9.621,9.588,AAA,1.843,-,-,-,30.171,-,-,P03,3.23,-,-,P03,P03,0.965,0.868,5234,1.0,0.5763,-3.175,-,-,-,V0377_Vel,08442615-5242323,3.7188337183038622,-0.23935138041864384,-0.015472686656207449,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
131.362210,-52.867250,VXR_76a,IC2391,50,144.5,12.76,1.040,-,10.742,10.164,10.061,AAA,2.67,-,-,-,29.921,-,-,P03,4.86,-,-,P03,P03,0.759,0.717,4462,0.666,0.2231,-3.013,-,-,-,V0379_Vel,08452692-5252020,3.649529565947819,-0.6515004297161623,-0.11975822410451964,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
