Name,logTeff,logLum,Mass,logAge,logMass
053514.9-052239,3.661,0.78,1.68,5.88,0.22530928172586284
053514.9-052328,,,,,
053514.9-052339,,,,,
053514.9-052412,,,,,
053514.9-052417,,,,,
053514.9-052449,,,,,
053514.9-052734,,,,,
053515.0-051639,,,,,
053515.0-052231,,,,,
053515.0-052354,,,,,
053515.1-052217,,,,,
053515.1-052229,,,,,
053515.1-052254,3.67,0.73,1.86,6.05,0.26951294421791633
053515.1-052304,,,,,
053515.1-052346,,,,,
053515.2-052015,,,,,
053515.2-052029,3.491,-0.66,0.19,6.24,-0.721246399047171
053515.2-052155,,,,,
053515.2-052224,3.602,0.12,0.69,6.03,-0.16115090926274472
053515.2-052256,3.745,0.96,2.09,6.65,0.320146286111054
053515.2-052318,,,,,
053515.2-052349,,,,,
053515.2-052509,,,,,
053515.2-052738,,,,,
053515.3-051338,3.502,-0.53,0.23,6.24,-0.638272163982407
053515.3-051902,3.479,-0.56,0.18,5.77,-0.744727494896694
053515.3-052128,,,,,
053515.3-052215,,,,,
053515.3-052224,3.546,,,,
053515.3-052225,3.546,,,,
053515.3-052333,3.535,,,,
053515.4-051739,,,,,
053515.4-051934,,,,,
053515.4-052040,,,,,
053515.4-052045,,,,,
053515.4-052113,3.524,0.07,0.29,4.98,-0.5376020021010439
053515.4-052115,,,,,
053515.4-052248,3.535,0.0,0.33,5.38,-0.4814860601221125
053515.4-052345,,,,,
053515.4-052507,,,,,
053515.4-052559,,,,,
053515.4-052722,3.524,-0.09,0.29,5.65,-0.5376020021010439
053515.4-052747,,,,,
053515.4-053023,,,,,
053515.5-051943,,,,,
053515.5-052218,,,,,
053515.5-052246,,,,,
053515.5-052337,,,,,
053515.5-052514,3.58,0.69,0.55,4.65,-0.2596373105057561
053515.5-053511,,,,,
053515.6-051747,,,,,
053515.6-051809,,,,,
053515.6-051943,,,,,
053515.6-052126,,,,,
053515.6-052256,3.719,1.16,2.77,6.23,0.4424797690644485
053515.6-052339,,,,,
053515.6-052402,3.585,0.22,0.55,5.84,-0.2596373105057561
053515.6-052510,3.546,-0.12,0.36,5.98,-0.44369749923271273
053515.6-052533,3.591,0.1,0.59,5.96,-0.22914798835785583
053515.6-053445,3.467,-0.43,0.17,5.19,-0.7695510786217261
053515.7-051947,,,,,
053515.7-052139,3.513,-0.52,0.26,6.28,-0.585026652029182
053515.7-052309,4.14,2.42,4.0,6.22,0.6020599913279624
053515.7-052322,,,,,
053515.7-052338,,,,,
053515.7-052411,,,,,
053515.7-052424,,,,,
053515.7-052628,3.546,-0.42,0.37,6.25,-0.431798275933005
053515.7-052815,3.479,-0.53,0.18,5.73,-0.744727494896694
053515.8-052040,3.467,-0.26,0.18,4.92,-0.744727494896694
053515.8-052121,,,,,
053515.8-052233,3.524,-0.13,0.29,5.84,-0.5376020021010439
053515.8-052245,3.513,0.01,0.26,4.97,-0.585026652029182
053515.8-052301,3.602,0.06,0.7,6.12,-0.1549019599857432
053515.8-052311,,,,,
053515.8-052314,4.471,4.5,18.91,,1.2766915288450398
053515.8-052322,3.695,0.08,1.27,7.09,0.10380372095595687
053515.8-052325,,,,,
053515.8-052417,,,,,
053515.8-052457,,,,,
053515.8-052852,3.524,-0.22,0.29,5.97,-0.5376020021010439
053515.8-053005,,,,,
053515.8-053312,3.58,-0.28,0.54,6.32,-0.2676062401770315
053515.9-051459,3.623,0.07,0.91,6.29,-0.040958607678906384
053515.9-051657,,,,,
053515.9-052200,,,,,
053515.9-052221,3.602,0.04,0.7,6.13,-0.1549019599857432
053515.9-052337,,,,,
053515.9-052349,3.719,1.3,3.0,6.12,0.47712125471966244
053515.9-052607,,,,,
053516.0-051944,,,,,
053516.0-052036,3.661,0.12,1.35,6.7,0.13033376849500614
053516.0-052109,,,,,
053516.0-052146,3.454,-0.52,0.14,5.12,-0.8538719643217619
053516.0-052153,,,,,
053516.0-052254,,,,,
053516.0-052306,,,,,
053516.0-052334,,,,,
053516.0-052352,3.806,1.18,1.96,6.81,0.292256071356476
053516.0-052353,,,,,
053516.0-052411,3.535,0.14,0.32,5.11,-0.494850021680094
053516.0-052551,3.491,-0.31,0.22,5.3,-0.6575773191777937
053516.0-052720,,,,,
053516.1-051547,,,,,
053516.1-052110,,,,,
053516.1-052212,,,,,
053516.1-052237,3.502,0.09,0.25,4.8,-0.6020599913279624
053516.1-052255,3.546,,,,
053516.1-052306,4.272,3.28,6.99,5.53,0.8444771757456815
053516.1-052314,,,,,
053516.1-052322,,,,,
053516.2-051906,,,,,
053516.2-052109,3.479,0.14,0.19,4.23,-0.721246399047171
053516.2-052132,3.513,-0.47,0.26,6.25,-0.585026652029182
053516.2-052210,3.544,-2.16,,,
053516.2-052224,,,,,
053516.2-052301,,,,,
053516.2-052316,3.67,,,,
053516.2-052319,,,,,
053516.2-052456,,,,,
053516.2-052833,,,,,
053516.2-053100,3.479,-0.75,0.16,5.71,-0.7958800173440752
053516.2-053200,3.454,-0.68,0.12,5.27,-0.9208187539523752
053516.2-053332,,,,,
053516.3-051538,3.568,-0.1,0.46,6.04,-0.3372421683184259
053516.3-051744,,,,,
053516.3-052025,3.467,-0.46,0.16,5.24,-0.7958800173440752
053516.3-052044,,,,,
053516.3-052150,3.524,-0.18,0.29,5.94,-0.5376020021010439
053516.3-052221,,,,,
053516.3-052249,3.524,-0.09,0.37,5.9,-0.431798275933005
053516.3-052403,3.602,0.59,0.7,5.59,-0.1549019599857432
053516.3-052437,,,,,
053516.3-052509,3.546,-0.16,0.37,6.03,-0.431798275933005
053516.3-052932,,,,,
053516.4-051952,,,,,
053516.4-052212,,,,,
053516.4-052235,3.491,-0.22,0.22,5.13,-0.6575773191777937
053516.4-052256,,,,,
053516.4-052322,4.603,5.4,37.7,,1.5763413502057928
053516.5-051747,,,,,
053516.5-052054,,,,,
053516.5-052115,,,,,
053516.5-052405,3.58,0.76,0.56,4.5,-0.25181197299379954
053516.5-052517,3.535,-0.24,0.33,6.09,-0.4814860601221125
053516.5-052634,,,,,
053516.6-051723,,,,,
053516.6-051935,3.58,-0.37,0.54,6.43,-0.2676062401770315
053516.6-052130,,,,,
053516.6-052241,,,,,
053516.6-052316,,,,,
053516.6-053247,3.571,-0.06,0.47,6.01,-0.3279021420642826
053516.7-051716,,,,,
053516.7-052019,,,,,
053516.7-052158,,,,,
053516.7-052231,3.491,-0.76,0.18,6.15,-0.744727494896694
053516.7-052316,3.736,,,,
053516.7-052328,,,,,
053516.7-052404,3.623,0.52,0.9,5.76,-0.045757490560675115
053516.7-052837,,,,,
053516.8-051653,3.479,-0.73,0.16,5.83,-0.7958800173440752
053516.8-051901,,,,,
053516.8-052222,3.58,0.49,0.53,5.22,-0.27572413039921095
053516.8-052307,,,,,
053516.8-052342,,,,,
053516.8-053055,,,,,
053516.9-051702,3.526,-1.77,0.21,7.62,-0.6777807052660807
053516.9-051841,,,,,
053516.9-051946,,,,,
053516.9-052059,,,,,
053516.9-052129,,,,,
053516.9-052209,,,,,
053516.9-052220,3.602,0.2,0.68,5.99,-0.16749108729376366
053516.9-052235,,,,,
053516.9-052248,3.623,,,,
053516.9-052300,3.58,0.36,0.52,5.73,-0.2839966563652008
053516.9-052302,,,,,
053516.9-052337,3.535,-0.03,0.33,5.46,-0.4814860601221125
053516.9-052547,3.524,-0.31,0.29,6.07,-0.5376020021010439
053516.9-052708,,,,,
053516.9-053246,,,,,
053517.0-051544,,,,,
053517.0-052011,,,,,
053517.0-052123,3.502,-0.38,0.23,5.9,-0.638272163982407
053517.0-052232,3.695,0.76,2.2,6.32,0.3424226808222063
053517.0-052334,3.708,0.96,2.5,6.27,0.3979400086720376
053517.0-052339,3.591,-0.35,0.63,6.53,-0.2006594505464183
053517.0-052858,,,,,
053517.1-051806,,,,,
053517.1-051813,,,,,
053517.1-051900,,,,,
053517.1-052129,,,,,
053517.1-052250,3.479,-0.42,0.19,5.34,-0.721246399047171
053517.1-052458,3.467,-0.08,0.18,4.56,-0.744727494896694
053517.1-052645,,,,,
053517.2-052027,3.513,-0.25,0.27,5.66,-0.5686362358410126
053517.2-052105,,,,,
053517.2-052131,3.67,1.3,2.62,5.56,0.41830129131974547
053517.2-052135,,,,,
053517.2-052316,4.42,4.35,16.63,,1.220892249219519
053517.2-052424,3.557,-0.27,0.41,6.14,-0.38721614328026455
053517.3-052014,3.571,-0.45,0.49,6.46,-0.3098039199714863
053517.3-052051,,,,,
053517.3-052117,,,,,
053517.3-052203,,,,,
053517.3-052221,,,,,
053517.3-052235,3.719,,,,
053517.3-052240,,,,,
053517.3-052245,,,,,
053517.3-052304,3.414,-1.42,,,
053517.3-052400,3.661,0.35,1.48,6.39,0.17026171539495738
053517.3-052544,3.557,-0.05,0.41,5.97,-0.38721614328026455
053517.3-053046,3.491,-1.16,0.14,6.66,-0.8538719643217619
053517.4-051656,,,,,
053517.4-052251,,,,,
053517.4-052321,3.591,0.19,0.59,5.88,-0.22914798835785583
053517.4-052341,,,,,
053517.4-052413,3.467,-0.45,0.17,5.23,-0.7695510786217261
053517.4-052417,3.467,-0.3,0.17,4.99,-0.7695510786217261
053517.4-053025,,,,,
053517.4-053216,,,,,
053517.5-051740,3.679,1.04,2.43,5.86,0.38560627359831223
053517.5-051822,,,,,
053517.5-051832,,,,,
053517.5-051929,,,,,
053517.5-052037,,,,,
053517.5-052106,,,,,
053517.5-052145,,,,,
053517.5-052200,,,,,
053517.5-052256,3.67,0.84,1.94,5.93,0.287801729930226
053517.5-052324,,,,,
053517.5-052542,3.591,-0.08,0.6,6.16,-0.22184874961635637
053517.6-052153,,,,,
053517.6-052207,,,,,
053517.6-052212,,,,,
053517.6-052233,,,,,
053517.6-052251,,,,,
053517.6-053202,3.491,-0.62,0.2,6.28,-0.6989700043360187
053517.7-051928,,,,,
053517.7-052230,3.502,,,,
053517.7-052314,,,,,
053517.7-052320,,,,,
053517.7-052342,3.467,,,,
053517.7-052344,,,,,
053517.7-052454,3.464,-0.19,0.16,4.6,-0.7958800173440752
053517.8-051835,,,,,
053517.8-051843,,,,,
053517.8-052053,,,,,
053517.8-052153,,,,,
053517.8-052202,,,,,
053517.8-052219,,,,,
053517.8-052303,3.591,-0.33,0.64,6.51,-0.1938200260161128
053517.8-052315,3.58,0.35,0.52,5.74,-0.2839966563652008
053517.8-052321,,,,,
053517.8-052430,,,,,
053517.8-052441,,,,,
053517.8-053041,3.513,-0.78,0.24,6.46,-0.619788758288394
053517.9-051532,,,,,
053517.9-051538,3.591,0.06,0.6,6.01,-0.22184874961635637
053517.9-051644,,,,,
053517.9-051756,,,,,
053517.9-052059,,,,,
053517.9-052245,3.661,1.43,2.52,5.39,0.4014005407815441
053517.9-052326,,,,,
053517.9-052335,,,,,
053517.9-052506,3.58,0.37,0.52,5.71,-0.2839966563652008
053517.9-052521,3.502,0.16,0.24,4.55,-0.619788758288394
053517.9-052534,,,,,
053517.9-052650,3.479,-1.15,0.12,6.6,-0.9208187539523752
053518.0-051613,,,,,
053518.0-052055,,,,,
053518.0-052141,,,,,
053518.0-052205,3.58,0.11,0.52,5.9,-0.2839966563652008
053518.0-052401,,,,,
053518.0-052403,3.557,,,,
053518.0-052934,3.546,-0.07,0.37,5.83,-0.431798275933005
053518.0-053031,3.454,-0.8,0.1,5.38,-1.0
053518.1-051546,3.502,-0.6,0.23,6.31,-0.638272163982407
053518.1-052825,3.557,-1.12,0.39,7.21,-0.4089353929735008
053518.2-051306,,,,,
053518.2-051722,,,,,
053518.2-051745,,,,,
053518.2-052033,,,,,
053518.2-052206,,,,,
053518.2-052307,3.491,-0.02,0.22,4.78,-0.6575773191777937
053518.2-052315,3.535,-0.03,0.33,5.47,-0.4814860601221125
053518.2-052335,,,,,
053518.2-052430,,,,,
053518.2-052535,3.557,-0.77,0.42,6.76,-0.37675070960209955
053518.2-052926,,,,,
053518.2-052953,3.502,-0.31,0.24,5.56,-0.619788758288394
053518.3-051501,,,,,
053518.3-052016,3.479,-0.91,0.14,6.05,-0.8538719643217619
053518.3-052020,,,,,
053518.3-052144,3.557,-0.56,0.4,6.45,-0.3979400086720376
053518.3-052237,3.719,1.23,2.95,6.17,0.46982201597816303
053518.3-052404,3.513,-0.66,0.25,6.37,-0.6020599913279624
053518.3-052426,3.513,-0.03,0.27,5.5,-0.5686362358410126
053518.3-052757,,,,,
053518.3-052846,,,,,
053518.3-053141,,,,,
053518.4-051637,3.602,0.39,0.69,5.77,-0.16115090926274472
053518.4-052407,3.513,-0.11,0.27,5.5,-0.5686362358410126
053518.5-051531,,,,,
053518.5-051820,3.524,-0.57,0.29,6.03,-0.5376020021010439
053518.5-051929,,,,,
053518.5-052042,3.502,-1.06,0.18,6.63,-0.744727494896694
053518.5-052147,,,,,
053518.5-052150,,,,,
053518.5-052231,,,,,
053518.5-052329,3.58,0.69,0.55,4.65,-0.2596373105057561
053518.5-052624,,,,,
053518.6-051635,3.602,-0.48,0.73,6.89,-0.1366771398795441
053518.6-051835,,,,,
053518.6-051905,,,,,
053518.6-052033,3.719,1.24,2.97,6.17,0.4727564493172124
053518.6-052313,3.679,0.63,1.91,6.27,0.2810333672477275
053518.6-052356,3.535,-0.36,0.33,6.17,-0.4814860601221125
053518.6-052631,,,,,
053518.7-051518,,,,,
053518.7-051802,,,,,
053518.7-051938,,,,,
053518.7-052202,3.524,-0.1,0.29,5.72,-0.5376020021010439
053518.7-052256,3.679,0.58,1.88,6.35,0.2741578492636798
053518.8-051445,,,,,
053518.8-051729,3.867,1.86,3.11,6.32,0.4927603890268375
053518.8-052030,,,,,
053518.8-052141,,,,,
053518.8-052222,,,,,
053518.8-052307,,,,,
053518.8-052328,3.58,-0.02,0.53,6.01,-0.27572413039921095
053518.8-052417,3.58,0.66,0.54,4.74,-0.2676062401770315
053518.9-051614,3.679,0.05,1.3,6.98,0.11394335230683678
053518.9-051751,,,,,
053518.9-051903,,,,,
053518.9-052048,,,,,
053518.9-052052,3.602,-0.83,0.7,7.47,-0.1549019599857432
053518.9-052107,3.507,0.06,0.25,4.81,-0.6020599913279624
053518.9-052218,3.602,0.28,0.68,5.92,-0.16749108729376366
053518.9-052321,,,,,
053519.0-052307,,,,,
053519.0-052349,3.713,0.11,1.22,7.2,0.08635983067474821
053519.0-052502,3.602,0.09,0.69,6.06,-0.16115090926274472
053519.0-052822,,,,,
053519.1-052035,3.513,-0.12,0.27,5.56,-0.5686362358410126
053519.1-052112,,,,,
053519.1-052118,,,,,
053519.1-052143,,,,,
053519.1-052234,,,,,
053519.1-052327,3.591,0.05,0.6,6.01,-0.22184874961635637
053519.1-052528,,,,,
053519.2-051732,,,,,
053519.2-052049,,,,,
053519.2-052250,3.643,0.2,1.19,6.36,0.07554696139253074
053519.2-052732,3.441,-1.12,,,
053519.2-053103,,,,,
053519.3-051644,3.502,-0.77,0.21,6.42,-0.6777807052660807
053519.3-051719,,,,,
053519.3-052007,3.695,0.34,1.6,6.78,0.20411998265592482
053519.3-052306,,,,,
053519.3-052542,,,,,
053519.3-053419,,,,,
053519.4-052221,3.441,-0.92,,,
053519.4-052716,,,,,
053519.5-051608,,,,,
053519.5-051703,,,,,
053519.5-052104,3.502,-0.11,0.26,5.4,-0.585026652029182
053519.5-052149,,,,,
053519.5-052735,,,,,
053519.5-053158,,,,,
053519.6-051326,,,,,
053519.6-052001,,,,,
053519.6-052057,,,,,
053519.6-052303,,,,,
053519.6-052357,3.591,-0.23,0.62,6.38,-0.2076083105017461
053519.6-052426,3.524,-0.05,0.29,5.29,-0.5376020021010439
053519.6-052507,,,,,
053519.7-051405,3.491,-0.87,0.17,6.48,-0.7695510786217261
053519.7-051930,,,,,
053519.7-052029,,,,,
053519.7-052031,,,,,
053519.7-052110,,,,,
053519.7-052234,,,,,
053519.8-051508,,,,,
053519.8-051535,,,,,
053519.8-051841,,,,,
053519.8-052221,,,,,
053519.8-052440,,,,,
053519.8-052447,3.557,-0.73,0.4,6.66,-0.3979400086720376
053519.8-053032,3.454,-0.54,0.13,5.14,-0.8860566476931632
053519.8-053037,,,,,
053519.9-051846,,,,,
053519.9-052154,,,,,
053519.9-052232,,,,,
053519.9-052402,3.535,0.17,0.32,5.05,-0.494850021680094
053519.9-053103,,,,,
053519.9-053353,3.513,-0.37,0.27,5.74,-0.5686362358410126
053520.0-051250,,,,,
053520.0-051958,,,,,
053520.0-052038,,,,,
053520.0-052043,,,,,
053520.0-052105,3.602,0.22,0.69,5.92,-0.16115090926274472
053520.0-052223,,,,,
053520.0-052226,3.467,-0.67,0.14,5.54,-0.8538719643217619
053520.0-052514,,,,,
053520.0-052522,,,,,
053520.0-052537,3.575,0.04,0.49,5.94,-0.3098039199714863
053520.0-052912,,,,,
053520.0-052916,,,,,
053520.1-051221,,,,,
053520.1-051315,3.643,1.47,1.98,5.25,0.2966651902615311
053520.1-051944,,,,,
053520.1-052024,,,,,
053520.1-052133,,,,,
053520.1-052228,,,,,
053520.1-052308,,,,,
053520.1-052604,,,,,
053520.1-052639,3.719,0.91,2.26,6.44,0.35410843914740087
053520.1-052841,3.467,-1.14,,,
053520.2-051359,3.479,-0.54,0.18,5.71,-0.744727494896694
053520.2-052056,3.771,2.27,5.0,5.55,0.6989700043360189
053520.2-052503,,,,,
053520.2-052706,,,,,
053520.2-053216,3.441,-0.86,,,
053520.3-051957,,,,,
053520.3-052617,3.454,-1.33,,,
053520.3-053039,3.467,-0.22,0.18,4.84,-0.744727494896694
053520.4-051714,3.562,0.08,0.43,5.9,-0.36653154442041347
053520.4-051932,,,,,
053520.4-052019,,,,,
053520.4-052213,3.633,,,,
053520.4-052329,3.58,0.24,0.52,5.81,-0.2839966563652008
053520.4-052910,3.435,-0.73,,,
053520.5-052043,,,,,
053520.5-052052,,,,,
053520.5-052122,,,,,
053520.5-052140,,,,,
053520.5-052420,,,,,
053520.5-052425,,,,,
053520.5-052632,,,,,
053520.6-052245,3.557,-0.36,0.41,6.23,-0.38721614328026455
053520.6-052353,,,,,
053520.6-052446,3.535,-0.4,0.33,6.2,-0.4814860601221125
053520.6-052510,,,,,
053520.7-051549,,,,,
053520.7-051926,,,,,
053520.7-052144,4.272,3.11,6.25,5.79,0.7958800173440752
053520.7-052155,3.58,-0.39,0.54,6.46,-0.2676062401770315
053520.7-052616,,,,,
053520.8-052113,,,,,
053520.8-052121,3.623,-0.57,0.8,7.28,-0.09691001300805639
053520.8-052130,3.479,-0.62,0.17,5.84,-0.7695510786217261
053520.9-052150,,,,,
053520.9-052234,,,,,
053520.9-052321,3.58,-0.13,0.54,6.14,-0.2676062401770315
053520.9-052534,,,,,
053520.9-053005,,,,,
053521.0-051637,3.623,0.26,0.9,6.05,-0.045757490560675115
053521.0-052043,,,,,
053521.0-052222,3.513,-0.2,0.27,6.0,-0.5686362358410126
053521.0-052349,3.708,1.12,2.7,6.14,0.43136376415898736
053521.0-052355,,,,,
053521.0-052809,3.591,-0.19,0.61,6.31,-0.21467016498923297
053521.0-052905,,,,,
053521.0-053121,3.643,0.06,1.17,6.57,0.06818586174616162
053521.1-051821,,,,,
053521.1-051916,,,,,
053521.1-052055,,,,,
053521.1-052333,3.471,-0.68,0.15,5.56,-0.8239087409443188
053521.1-052556,3.571,-1.0,0.47,7.21,-0.3279021420642826
053521.2-052200,,,,,
053521.2-052259,3.513,-0.31,0.27,5.82,-0.5686362358410126
053521.2-052316,,,,,
053521.2-052457,3.695,0.55,1.9,6.54,0.2787536009528289
053521.2-052738,,,,,
053521.2-052824,,,,,
053521.3-051902,,,,,
053521.3-052207,,,,,
053521.3-052215,3.546,-1.71,0.29,7.84,-0.5376020021010439
053521.3-052345,3.602,-0.04,0.7,6.24,-0.1549019599857432
053521.3-052411,3.568,-0.47,0.46,6.44,-0.3372421683184259
053521.3-052644,3.623,0.53,0.91,5.76,-0.040958607678906384
053521.4-051710,,,,,
053521.5-051952,,,,,
053521.5-052105,,,,,
053521.5-052316,3.502,0.18,0.24,4.51,-0.619788758288394
053521.6-051518,,,,,
053521.6-051754,,,,,
053521.6-052147,3.557,-0.2,0.41,6.08,-0.38721614328026455
053521.6-052212,,,,,
053521.6-052325,3.454,-0.45,0.14,5.04,-0.8538719643217619
053521.6-052526,3.58,-0.37,0.54,6.43,-0.2676062401770315
053521.6-052657,,,,,
053521.6-052714,3.454,-1.43,,,
053521.7-051717,,,,,
053521.7-051946,,,,,
053521.7-052310,3.546,0.32,0.36,4.79,-0.44369749923271273
053521.7-052339,3.623,0.05,0.91,6.32,-0.040958607678906384
053521.7-052348,3.535,,,,
053521.7-052644,3.535,-0.64,0.32,6.41,-0.494850021680094
053521.8-052007,,,,,
053521.8-052208,,,,,
053521.8-052240,,,,,
053521.8-052307,,,,,
053521.8-052353,3.679,0.6,1.9,6.31,0.2787536009528289
053521.8-052355,3.557,-0.34,0.41,6.21,-0.38721614328026455
053521.8-052441,,,,,
053521.9-051427,3.535,-0.17,0.33,6.02,-0.4814860601221125
053521.9-051501,3.491,-0.2,0.22,5.1,-0.6575773191777937
053521.9-051704,,,,,
053521.9-051811,,,,,
053521.9-052426,,,,,
053521.9-052827,3.518,-0.05,0.24,4.96,-0.619788758288394
053522.0-051933,,,,,
053522.0-052432,,,,,
053522.0-052811,,,,,
053522.0-052815,3.557,-0.59,0.4,6.49,-0.3979400086720376
053522.0-052855,,,,,
053522.1-051857,,,,,
053522.1-052129,,,,,
053522.1-052213,3.494,-1.21,0.15,6.71,-0.8239087409443188
053522.1-052234,3.602,0.36,0.68,5.83,-0.16749108729376366
053522.1-052331,,,,,
053522.1-052424,3.687,0.68,1.98,6.3,0.2966651902615311
053522.1-052507,,,,,
053522.2-051808,,,,,
053522.2-051950,,,,,
053522.2-052007,,,,,
053522.2-052012,,,,,
053522.2-052029,3.679,0.39,1.66,6.54,0.22010808804005508
053522.2-052142,,,,,
053522.2-052217,3.479,,,,
053522.2-052637,3.568,0.05,0.46,5.92,-0.3372421683184259
053522.2-052744,,,,,
053522.2-052836,3.441,-1.13,,,
053522.3-052414,3.557,-0.04,0.41,5.96,-0.38721614328026455
053522.3-052728,3.479,-0.57,0.18,5.78,-0.744727494896694
053522.3-053116,3.441,-0.7,,,
053522.3-053355,3.479,-0.58,0.18,5.77,-0.744727494896694
053522.4-051732,,,,,
053522.4-052201,3.679,0.26,1.5,6.7,0.17609125905568124
053522.4-052413,,,,,
053522.4-052509,3.679,,,,
053522.4-052545,,,,,
053522.4-052611,,,,,
053522.5-051951,,,,,
053522.5-052343,3.58,-0.06,0.53,6.06,-0.27572413039921095
053522.6-051327,,,,,
053522.6-051411,,,,,
053522.6-051508,3.524,-1.39,0.22,7.12,-0.6575773191777937
053522.6-052137,,,,,
053522.6-053338,,,,,
053522.7-051613,,,,,
053522.7-051838,,,,,
053522.7-051947,,,,,
053522.7-052141,,,,,
053522.7-052157,,,,,
053522.7-052505,,,,,
053522.7-052514,,,,,
053522.8-052022,,,,,
053522.8-052226,,,,,
053522.8-052313,3.58,-0.02,0.53,6.01,-0.27572413039921095
053522.8-052457,4.543,5.03,23.3,,1.3673559210260189
053522.8-053137,3.535,-0.38,0.33,6.18,-0.4814860601221125
053522.9-051744,,,,,
053522.9-052241,3.623,0.37,0.9,5.92,-0.045757490560675115
053522.9-053228,3.557,-0.2,0.41,6.08,-0.38721614328026455
053523.0-052459,,,,,
053523.0-052836,,,,,
053523.1-051343,,,,,
053523.1-052228,,,,,
053523.1-052615,,,,,
053523.2-052135,,,,,
053523.2-052833,,,,,
053523.3-051957,,,,,
053523.3-052125,3.591,-0.14,0.63,6.26,-0.2006594505464183
053523.3-052810,3.502,-0.55,0.23,6.26,-0.638272163982407
053523.4-051523,,,,,
053523.4-051850,3.571,0.04,0.47,5.93,-0.3279021420642826
053523.4-052001,,,,,
053523.4-052039,,,,,
053523.4-052059,,,,,
053523.5-051857,3.58,-0.25,0.53,6.27,-0.27572413039921095
053523.5-051912,,,,,
053523.5-051930,,,,,
053523.5-052350,,,,,
053523.5-052454,,,,,
053523.6-052116,,,,,
053523.6-052212,,,,,
053523.6-052331,3.643,-0.23,1.05,7.0,0.021189299069938092
053523.6-052346,3.557,-0.56,0.4,6.45,-0.3979400086720376
053523.6-052457,,,,,
053523.6-052526,,,,,
053523.6-052626,3.513,-0.03,0.26,5.05,-0.585026652029182
053523.7-051839,3.535,-0.65,0.32,6.42,-0.494850021680094
053523.7-052319,3.513,,,,
053523.7-052804,,,,,
053523.8-052118,,,,,
053523.8-052334,3.557,-0.36,0.41,6.23,-0.38721614328026455
053523.8-053047,3.708,0.7,2.01,6.51,0.30319605742048883
053523.9-051821,,,,,
053523.9-051907,3.502,-0.5,0.24,6.14,-0.619788758288394
053523.9-051913,,,,,
053523.9-052010,,,,,
053523.9-052106,,,,,
053523.9-052509,3.557,-1.01,0.39,7.04,-0.4089353929735008
053524.0-052313,,,,,
053524.1-051854,,,,,
053524.1-051927,,,,,
053524.1-052132,3.513,-0.45,0.26,6.23,-0.585026652029182
053524.1-052155,3.479,-0.29,0.22,5.25,-0.6575773191777937
053524.2-052518,3.643,0.24,1.2,6.31,0.07918124604762482
053524.2-052957,3.535,-0.21,0.33,6.06,-0.4814860601221125
053524.3-052206,,,,,
053524.3-052232,,,,,
053524.3-052556,,,,,
053524.3-052600,,,,,
053524.3-052647,,,,,
053524.3-052844,3.441,-0.53,,,
053524.4-052401,,,,,
053524.4-052439,3.58,0.09,0.52,5.92,-0.2839966563652008
053524.4-052631,3.509,-0.15,0.26,5.39,-0.585026652029182
053524.5-051659,3.557,-0.07,0.41,5.98,-0.38721614328026455
053524.5-052501,3.557,-0.91,0.41,6.94,-0.38721614328026455
053524.5-052526,,,,,
053524.6-051909,3.502,-0.13,0.24,5.16,-0.619788758288394
053524.6-051933,,,,,
053524.6-051955,,,,,
053524.6-052104,,,,,
053524.6-052242,3.441,-0.1,0.14,4.12,-0.8538719643217619
053524.7-051641,,,,,
053524.7-052134,,,,,
053524.7-052435,3.58,-0.12,0.53,6.13,-0.27572413039921095
053524.7-052444,,,,,
053524.7-052759,,,,,
053524.7-052825,3.467,-1.34,,,
053524.8-052510,,,,,
053524.9-052401,,,,,
053525.0-052034,,,,,
053525.0-052258,3.687,0.56,1.9,6.44,0.2787536009528289
053525.0-052326,,,,,
053525.0-052346,3.661,0.47,1.53,6.23,0.1846914308175988
053525.0-052353,,,,,
053525.0-052438,,,,,
053525.1-052225,3.535,-1.46,0.25,7.33,-0.6020599913279624
053525.1-052524,,,,,
053525.2-051536,3.524,-0.47,0.29,6.22,-0.5376020021010439
053525.2-052457,,,,,
053525.2-052823,,,,,
053525.2-052951,,,,,
053525.2-053321,3.491,-0.26,0.22,5.25,-0.6575773191777937
053525.3-052006,,,,,
053525.3-052345,,,,,
053525.3-052411,3.557,-1.01,0.39,7.04,-0.4089353929735008
053525.3-052529,,,,,
053525.4-052012,,,,,
053525.4-052134,3.623,0.09,0.91,6.27,-0.040958607678906384
053525.4-052135,3.623,0.09,0.91,6.27,-0.040958607678906384
053525.4-052151,,,,,
053525.4-052333,,,,,
053525.5-052154,,,,,
053525.5-053304,,,,,
053525.6-051804,,,,,
053525.6-053020,3.571,-0.07,0.47,6.02,-0.3279021420642826
053525.6-053038,3.491,-0.28,0.22,5.23,-0.6575773191777937
053525.7-052309,3.591,-0.41,0.64,6.64,-0.1938200260161128
053525.7-052641,3.568,-0.23,0.46,6.17,-0.3372421683184259
053525.8-051809,,,,,
053525.8-052201,,,,,
053525.9-053049,,,,,
053526.0-052017,,,,,
053526.0-052120,,,,,
053526.0-052547,3.58,0.08,0.53,5.94,-0.27572413039921095
053526.1-052005,,,,,
053526.1-052257,3.454,-1.35,,,
053526.1-052520,3.491,-0.87,0.17,6.48,-0.7695510786217261
053526.1-052539,,,,,
053526.1-053018,3.524,-0.5,0.29,6.25,-0.5376020021010439
