RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
130.025964,-53.635253,VXR_14,IC2391,50,144.5,10.45,0.570,-,9.330,9.040,8.900,AAA,1.521,-,-,-,30.161,-,-,P03,1.32,-,-,P03,P03,1.16,1.077,5826,0.808,1.358,-3.558,-,-,-,V0365_Vel,08400624-5338069,3.7653704802916486,0.1328997699444829,0.06445798922691845,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
130.561500,-52.934030,VXR_45a,IC2391,50,144.5,10.70,0.800,-,9.206,8.769,8.648,AAA,2.023,-,-,-,30.091,-,-,P03,0.22,-,-,P03,P03,1.134,1.043,5744,1.0,1.204,-3.575,-,-,-,V0370_Vel,08421476-5256024,3.759214431234244,0.08062648692180573,0.05461305455688774,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
131.021610,-52.888117,VXR_70,IC2391,50,144.5,10.85,0.630,-,9.603,9.258,9.165,AAA,1.656,-,-,-,29.831,-,-,P03,2.67,-,-,P03,P03,1.085,0.9834,5596,1.0,0.953,-3.734,-,-,-,V0376_Vel,08440521-5253171,3.74787770581979,-0.02090709936167361,0.0354297381845483,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
131.413012,-52.433210,VXR_77a,IC2391,50,144.5,9.91,0.500,-,8.890,8.672,8.635,AAA,1.246,-,-,-,30.171,-,-,P03,0.65,-,-,P03,P03,1.269,1.213,6153,0.867,2.132,-3.743,-,-,-,V0380_Vel,08453913-5225595,3.7890869150880286,0.3287872003545347,0.10346162209470475,7.698970004336019,7.561,7.583,7.54,0.020999999999999908,0.02200000000000024,0.020999999999999908,7.561
