TIC,Flagfit,Luminosity,E_Luminosity,e_Luminosity,Teff,E_Teff,e_Teff,Radius,E_Radius,e_Radius,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Age,E_Age,e_Age,Ageyr,e_Ageyr,E_Ageyr,age_up_diff,age_lo_diff,age_err,mass_up_diff,mass_lo_diff,mass_err,logAge,logAge_err,logMass,logMass_err,logLum,logTeff
232614734,yes,17.04,1.0,0.94,4880.0,14.0,15.0,5.77,0.17,0.16,3.06,0.068,0.089,1.4,0.21,0.26,3.6,3.7,1.4,3600000000.0,1400000000.0,3700000000.0,100000000.0,2200000000.0,100000000.0,1.19,1.14,1.14,9.556302500767288,0.01206373560842366,0.146128035678238,-0.2949470607981344,1.2314695904306814,3.6884198220027105
229740594,yes,3.209,0.071,0.061,5450.0,36.0,33.0,2.009,0.025,0.024,3.895,0.025,0.03,1.156,0.063,0.07,6.97,1.2,0.94,6970000000.0,940000000.0,1200000000.0,5770000000.0,6030000000.0,5770000000.0,1.093,1.0859999999999999,1.0859999999999999,9.84323277809801,0.35952355245075507,0.06295783408451021,-0.34028221274015324,0.506369717095504,3.7363965022766426
229940491,yes,2.01,0.088,0.074,5624.0,32.0,28.0,1.494,0.028,0.028,4.108,0.044,0.033,1.043,0.098,0.065,9.3,2.4,3.0,9300000000.0,3000000000.0,2400000000.0,6900000000.0,6300000000.0,6300000000.0,0.945,0.978,0.945,9.968482948553936,0.2941994877409125,0.018284308426530838,-0.3281819998283728,0.30319605742048883,3.7500453120117676
233207239,yes,3.56,0.14,0.12,5214.0,23.0,21.0,2.312,0.041,0.04,3.77,0.034,0.041,1.148,0.082,0.095,6.5,2.2,1.2,6500000000.0,1200000000.0,2200000000.0,4300000000.0,5300000000.0,4300000000.0,1.0659999999999998,1.053,1.053,9.812913356642856,0.2873025034129204,0.05994188806195468,-0.33224139390290497,0.5514499979728752,3.71717102683231
219096868,yes,11.72,0.71,0.63,4848.0,17.0,16.0,4.85,0.15,0.13,3.166,0.073,0.082,1.26,0.22,0.21,5.0,4.5,2.2,5000000000.0,2200000000.0,4500000000.0,500000000.0,2800000000.0,500000000.0,1.04,1.05,1.04,9.698970004336019,0.04342944819032518,0.10037054511756291,-0.2989716795614618,1.0689276116820718,3.68556261115823
232620788,yes,2.604,0.061,0.049,5510.0,43.0,39.0,1.772,0.021,0.021,3.977,0.028,0.031,1.084,0.068,0.066,8.6,1.7,1.5,8600000000.0,1500000000.0,1700000000.0,6900000000.0,7100000000.0,6900000000.0,1.016,1.018,1.016,9.934498451243568,0.34844557268981824,0.03502928220236815,-0.33949367132717223,0.41564097989615434,3.741151598851785
258957379,yes,4.23,0.12,0.1,4990.0,32.0,31.0,2.753,0.041,0.04,3.614,0.06,0.062,1.14,0.16,0.14,6.9,3.9,2.4,6900000000.0,2400000000.0,3900000000.0,3000000000.0,4500000000.0,3000000000.0,0.9799999999999999,0.9999999999999999,0.9799999999999999,9.838849090737256,0.1888236877840225,0.05690485133647255,-0.31137839905743336,0.6263403673750424,3.6981005456233897
233680706,yes,6.98,0.27,0.25,4928.0,22.0,23.0,3.625,0.073,0.066,3.399,0.068,0.073,1.2,0.2,0.18,5.7,4.5,2.3,5700000000.0,2300000000.0,4500000000.0,1200000000.0,3400000000.0,1200000000.0,1.0,1.02,1.0,9.755874855672491,0.09143041724278984,0.07918124604762482,-0.30184640724955275,0.8438554226231612,3.692670699156369
441725324,yes,3.35,0.15,0.14,5116.0,15.0,16.0,2.327,0.051,0.049,3.768,0.036,0.044,1.159,0.091,0.11,6.8,2.7,1.5,6800000000.0,1500000000.0,2700000000.0,4100000000.0,5300000000.0,4100000000.0,1.068,1.049,1.049,9.832508912706237,0.2618540258534312,0.064083435963596,-0.3278380133267791,0.5250448070368452,3.7089305358066165
232610052,yes,6.98,0.36,0.34,4855.0,18.0,18.0,3.732,0.096,0.091,3.347,0.072,0.062,1.13,0.2,0.14,7.1,4.2,3.1,7100000000.0,3100000000.0,4200000000.0,2900000000.0,4000000000.0,2900000000.0,0.9299999999999999,0.9899999999999999,0.9299999999999999,9.851258348719075,0.17738788697456762,0.05307844348341968,-0.2981067172482309,0.8438554226231612,3.686189234244024
357517143,yes,5.84,0.21,0.2,5496.0,28.0,26.0,2.664,0.049,0.046,3.733,0.02,0.022,1.4,0.051,0.059,3.45,0.31,0.26,3450000000.0,260000000.0,310000000.0,3140000000.0,3190000000.0,3140000000.0,1.349,1.341,1.341,9.537819095073274,0.3952709197612204,0.146128035678238,-0.3469508846757002,0.7664128471123994,3.740046724051494
424384243,yes,4.94,0.27,0.23,5245.0,45.0,40.0,2.692,0.066,0.063,3.676,0.044,0.059,1.26,0.1,0.15,4.45,2.3,0.84,4450000000.0,840000000.0,2300000000.0,2150000000.0,3610000000.0,2150000000.0,1.16,1.11,1.11,9.648360010980932,0.20982767103190816,0.10037054511756291,-0.31909477337809866,0.693726948923647,3.7197454925295768
272784360,yes,8.16,0.33,0.3,5043.0,27.0,26.0,3.741,0.071,0.068,3.389,0.063,0.077,1.25,0.18,0.2,4.5,3.9,1.7,4500000000.0,1700000000.0,3900000000.0,600000000.0,2800000000.0,600000000.0,1.07,1.05,1.05,9.653212513775344,0.057905930920433564,0.09691001300805642,-0.3042611785075492,0.9116901587538612,3.7026889681591335
