RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
119.230000,-60.969920,-,NGC2516,160,343.6,17.36,1.440,1.940,14.225,13.402,13.245,AAA,3.764,-,-,-,29.276,0.075,-,P06,2.356,-,-,I07,ME,0.526,0.4378,3861,0.566,0.05129,-3.02,-,-,-,-,07565520-6058118,3.586699801624049,-1.2899673009342465,-0.2790142558462609,8.204119982655925,8.4,8.405,8.394,0.006000000000000227,0.004999999999999005,0.004999999999999005,8.4
119.723250,-60.906720,-,NGC2516,160,343.6,16.81,1.590,2.060,13.540,12.837,12.642,AAA,3.817,-,-,Yes,29.396,0.03,-,P06,1.603,-,-,I07,ME,0.625,0.5264,4047,0.622,0.08859,-3.137,-,-,-,-,07585359-6054241,3.6071332043915665,-1.052615298315259,-0.2041199826559248,8.204119982655925,8.4,8.405,8.394,0.006000000000000227,0.004999999999999005,0.004999999999999005,8.4
119.735080,-60.789670,-,NGC2516,160,343.6,17.13,1.570,1.890,14.121,13.394,13.108,AAA,3.671,-,-,-,29.146,0.04,-,P06,0.452,-,-,I07,ME,0.551,0.4591,3902,0.622,0.05929,-3.212,-,-,-,-,07585638-6047228,3.591287265058499,-1.2270185496550363,-0.25884840114821495,8.204119982655925,8.4,8.405,8.394,0.006000000000000227,0.004999999999999005,0.004999999999999005,8.4
119.735750,-60.871080,-,NGC2516,160,343.6,17.59,1.410,2.260,14.114,13.408,13.218,AAA,4.021,-,-,-,29.216,0.04,-,P06,0.959,-,-,I07,ME,0.524,0.4361,3858,0.566,0.05065,-3.074,-,-,-,-,07585657-6052160,3.586362223307866,-1.2954205503037008,-0.28066871301627333,8.204119982655925,8.4,8.405,8.394,0.006000000000000227,0.004999999999999005,0.004999999999999005,8.4
119.786670,-60.950750,-,NGC2516,160,343.6,17.35,1.350,2.060,14.129,13.405,13.247,AAA,3.752,-,-,-,29.026,0.075,-,P06,6.575,-,-,I07,ME,0.526,0.4378,3861,0.566,0.0513,-3.269,-,-,-,-,07590880-6057025,3.586699801624049,-1.2898826348881838,-0.2790142558462609,8.204119982655925,8.4,8.405,8.394,0.006000000000000227,0.004999999999999005,0.004999999999999005,8.4
119.789960,-60.847640,-,NGC2516,160,343.6,17.65,1.250,2.250,14.219,13.466,13.321,AAA,3.978,-,-,-,29.256,0.04,-,P06,0.761,-,-,I07,ME,0.51,0.4245,3836,0.566,0.04629,-2.995,-,-,-,-,07590959-6050515,3.583878598498626,-1.3345128192171893,-0.2924298239020636,8.204119982655925,8.4,8.405,8.394,0.006000000000000227,0.004999999999999005,0.004999999999999005,8.4
119.843870,-60.620140,-,NGC2516,160,343.6,18.06,1.640,2.330,14.756,13.823,13.620,AAA,4.089,-,-,-,28.996,0.085,-,P06,0.523,-,-,I07,ME,0.455,0.3849,3757,0.566,0.0347,-3.13,-,-,-,-,07592248-6037123,3.5748411950633847,-1.4596705252091262,-0.3419886033428876,8.204119982655925,8.4,8.405,8.394,0.006000000000000227,0.004999999999999005,0.004999999999999005,8.4
119.870920,-60.661580,-,NGC2516,160,343.6,17.54,1.360,2.150,14.224,13.535,13.304,AAA,3.885,-,-,-,29.336,0.05,-,P06,0.332,-,-,I07,ME,0.514,0.428,3843,0.566,0.0476,-2.927,-,-,-,-,07592899-6039417,3.584670384464349,-1.322393047279507,-0.28903688100472424,8.204119982655925,8.4,8.405,8.394,0.006000000000000227,0.004999999999999005,0.004999999999999005,8.4
120.009710,-60.897610,-,NGC2516,160,343.6,19.61,-,3.030,15.038,14.389,14.049,AAA,5.21,-,-,-,29.336,0.065,-,P06,1.048,-,-,I07,ME,0.347,0.3157,3597,0.0,0.01899,-2.528,-,-,-,-,08000232-6053513,3.555940437818511,-1.7214750352629824,-0.4596705252091263,8.204119982655925,8.4,8.405,8.394,0.006000000000000227,0.004999999999999005,0.004999999999999005,8.4
