RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
160.673000,-64.351220,R58,IC2602,46,148.6,10.57,0.610,-,9.295,8.920,8.840,AAA,1.642,-,-,-,30.34,-,-,P03,0.57,-,-,P03,P03,1.166,1.085,5836,0.805,1.384,-3.386,307938,-,-,V0557_Car,10424152-6421043,3.766115283221414,0.14113609012073897,0.06669855042299526,7.662757831681574,7.547,7.563,7.533,0.013999999999999346,0.016000000000000014,0.013999999999999346,7.547
161.028370,-63.993080,R66,IC2602,46,148.6,11.07,0.640,-,9.727,9.356,9.311,AAA,1.671,-,-,-,29.65,-,-,P03,3.3,-,-,P03,P03,1.063,0.9622,5529,1.0,0.8769,-3.878,-,-,-,V0558_Car,10440681-6359351,3.7426465899387362,-0.05704992992290113,0.026533264523296733,7.662757831681574,7.547,7.563,7.533,0.013999999999999346,0.016000000000000014,0.013999999999999346,7.547
161.094000,-64.258360,R70,IC2602,46,148.6,10.92,0.650,-,9.687,9.372,9.322,AAA,1.51,-,-,-,29.01,-,-,P03,4.3,-,-,P03,P03,1.096,0.9952,5624,1.0,0.9904,-4.571,307936,-,-,V0559_Car,10442256-6415301,3.7500453120117676,-0.004189368323957265,0.039810554148350386,7.662757831681574,7.547,7.563,7.533,0.013999999999999346,0.016000000000000014,0.013999999999999346,7.547
161.248420,-65.038640,R72,IC2602,46,148.6,10.89,0.600,-,9.622,9.259,9.157,AAA,1.645,-,-,-,30.44,-,-,P03,1.05,-,-,P03,P03,1.105,1.005,5650,1.0,1.031,-3.158,307979,-,-,V0561_Car,10445962-6502190,3.7520484478194387,0.01325866528351651,0.04336227802112949,7.662757831681574,7.547,7.563,7.533,0.013999999999999346,0.016000000000000014,0.013999999999999346,7.547
161.375080,-64.422470,B134,IC2602,46,148.6,10.66,0.910,-,8.888,8.381,8.278,AAA,2.294,-,-,-,29.95,-,-,P03,6.8,-,-,P03,P03,1.196,1.125,5928,0.805,1.558,-3.828,308016,-,-,V0563_Car,10453002-6425208,3.7729081949712717,0.19256745333654568,0.07773117965239201,7.662757831681574,7.547,7.563,7.533,0.013999999999999346,0.016000000000000014,0.013999999999999346,7.547
161.561790,-64.049470,R83,IC2602,46,148.6,10.70,0.580,-,9.498,9.164,9.102,AAA,1.51,-,-,-,29.97,-,-,P03,1.67,-,-,P03,P03,1.136,1.047,5746,1.0,1.213,-3.699,-,-,-,V0564_Car,10461483-6402580,3.759365621655929,0.08386080086657301,0.05537833137500002,7.662757831681574,7.547,7.563,7.533,0.013999999999999346,0.016000000000000014,0.013999999999999346,7.547
162.076580,-64.164780,R92,IC2602,46,148.6,10.26,0.630,-,8.886,8.541,8.505,AAA,1.667,-,-,-,29.96,-,-,P03,2.0,-,-,P03,P03,1.234,1.171,6041,0.805,1.848,-3.892,308013,-,-,V0567_Car,10481837-6409532,3.7811088357294667,0.2667019668840879,0.09131515969722287,7.662757831681574,7.547,7.563,7.533,0.013999999999999346,0.016000000000000014,0.013999999999999346,7.547
