HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,source_id,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,lum_val,lum_percentile_lower,lum_percentile_upper,age_up_diff,age_lo_diff,age_err,mass_up_diff,mass_lo_diff,mass_err,Age,Age_err,logAge,logAge_err,logMass,logMass_err,logTeff,logLum
63197,6644,226,4.45,0.14,,,1023.0,1232.0,1703.0,562.0,3255.0,68,122.0,5464.0,95,63.0,1.23,1.23,1.21,1.1,1.3,68,1.1,1.4,95,1.29,6139339536959806336,8.079794,11051688.646967452,3335.2903804066823,8.321067,6488261.526302551,6888.264966150511,7.7230425,6539595.932628355,12656.972791412083,2.7806218,2.7638347000000003,2.7974088,2232.0,461.0,461.0,0.07000000000000006,0.1299999999999999,0.07000000000000006,1023000000.0,461000000.0,9.00987563371216,0.19570846154193455,0.08990511143939793,0.024715946124575325,3.8224296237793567,0.4441419232968788
63280,7322,249,4.25,0.14,,,1092.0,1218.0,1241.0,1016.0,1557.0,68,434.0,1939.0,95,637.0,1.6,1.58,1.52,1.4,1.7,68,1.4,1.8,95,1.51,6140582023756182656,7.4366517,19984147.605333783,8143.21929422825,7.6202545,12372386.24308135,20243.22975598796,7.173314,10850313.615821045,21779.18822621413,6.6023326,6.5623837,6.6422815,465.0,76.0,76.0,0.09999999999999987,0.20000000000000018,0.09999999999999987,1092000000.0,76000000.0,9.038222638368719,0.030225623282643898,0.20411998265592482,0.0271434051189532,3.8646297245455123,0.819697398622935
63286,7074,241,4.39,0.14,,,517.0,649.0,986.0,316.0,1585.0,68,71.0,2175.0,95,32.0,1.4,1.41,1.41,1.3,1.5,68,1.2,1.5,95,1.41,3498999428147988736,6.8556967,34124603.10276634,13174.627004568372,7.054659,20830115.44172475,28326.81810590089,6.5800285,18739435.396960616,39902.98730385867,4.7190623,4.701965,4.73616,1068.0,201.0,201.0,0.10000000000000009,0.09999999999999987,0.10000000000000009,517000000.0,201000000.0,8.713490543093943,0.16884563029507468,0.146128035678238,0.03102103442166087,3.8496650554787326,0.6738557108389494
63320,7821,266,4.35,0.14,,,693.0,844.0,931.0,658.0,1169.0,68,194.0,1334.0,95,21.0,1.7,1.68,1.63,1.6,1.8,68,1.5,1.9,95,1.61,1463832026797092864,6.882380499999999,33296161.08137025,11282.782071243444,7.021012,21485747.82883444,34998.12873461749,6.6944814,16864578.309879687,22866.706203730137,7.183345,7.14152,7.2251697,476.0,35.0,35.0,0.10000000000000009,0.09999999999999987,0.10000000000000009,693000000.0,35000000.0,8.840733234611807,0.021934064742588473,0.2304489213782739,0.025546734229603067,3.8932622858879915,0.8563267251271818
63372,7243,246,4.28,0.14,,,669.0,851.0,1172.0,503.0,1664.0,68,103.0,2113.0,95,400.0,1.48,1.48,1.46,1.4,1.6,68,1.3,1.6,95,1.48,6134363770111184896,7.767670599999999,14732552.713353228,18183.812596294807,7.9451694,9172494.858304152,38775.83185216228,7.511849400000001,7943797.656851633,28441.135164911742,5.280016000000001,5.2412815,5.3187504,995.0,166.0,166.0,0.1200000000000001,0.08000000000000007,0.1200000000000001,669000000.0,166000000.0,8.825426117767822,0.1077621584393719,0.17026171539495738,0.03521306610026369,3.8599184852007156,0.7226352385757029
63411,6274,213,4.14,0.14,,,2006.0,2585.0,3398.0,1413.0,6131.0,68,290.0,7943.0,95,3623.0,1.13,1.12,1.1,1.0,1.2,68,1.0,1.3,95,1.23,5861901112307520512,7.515556299999999,18583336.163247798,4178.752550024748,7.792680000000001,10555611.81401687,10556.753930696945,7.1301190000000005,11290691.632210389,19561.61094684949,2.758309,2.7487864,2.7678313,4125.0,593.0,593.0,0.07000000000000006,0.1299999999999999,0.07000000000000006,2006000000.0,593000000.0,9.3023309286844,0.12838316439114072,0.05307844348341968,0.026903197994006773,3.7975445143617264,0.4406429164728649
63477,6666,227,4.2,0.14,,,1220.0,1473.0,1857.0,708.0,3652.0,68,158.0,6131.0,95,1849.0,1.25,1.25,1.24,1.1,1.3,68,1.1,1.4,95,1.33,3525130799450804608,7.411459,20453271.6618778,5636.340615510054,7.6433716,12111740.668112716,13584.153825389172,7.079192,11832896.29695258,32755.880287679767,4.484814,4.459275,4.510353599999999,2432.0,512.0,512.0,0.050000000000000044,0.1499999999999999,0.050000000000000044,1220000000.0,512000000.0,9.086359830674748,0.18226129076595485,0.09691001300805642,0.017371779276130084,3.8238653093245114,0.6517444361317961
63493,6565,223,4.3,0.14,,,1786.0,2095.0,2271.0,1294.0,4191.0,68,345.0,6494.0,95,1332.0,1.26,1.26,1.24,1.2,1.4,68,1.1,1.4,95,1.27,3956998694596150912,8.132285000000001,10530089.30370771,2086.0927449609053,8.367521,6216510.909164013,3515.852210740808,7.784667,6178756.80694736,4412.969171727556,3.022957,3.0071487,3.0387654,2405.0,492.0,492.0,0.1399999999999999,0.06000000000000005,0.1399999999999999,1786000000.0,492000000.0,9.251881454552528,0.11963767362620374,0.10037054511756291,0.04825494243369461,3.8172347304254983,0.4804319696073441
63497,6497,221,4.13,0.14,,,1645.0,2003.0,2406.0,1090.0,4597.0,68,244.0,6879.0,95,2491.0,1.21,1.21,1.18,1.1,1.3,68,1.0,1.4,95,1.32,3940855699236632960,6.077941,69850577.91804864,19479.05331254924,6.3305197,40583303.42704443,65686.41357894159,5.7245708,41204027.05132533,71540.98282208358,4.453801,4.443385,4.464217,2952.0,555.0,555.0,0.09000000000000008,0.10999999999999988,0.09000000000000008,1645000000.0,555000000.0,9.216165902285994,0.14652488599167462,0.08278537031645007,0.032302895348175785,3.8127128667653687,0.6487308084473153
63531,7840,267,4.32,0.14,,,417.0,546.0,806.0,328.0,1062.0,68,69.0,1189.0,95,82.0,1.64,1.63,1.6,1.6,1.7,68,1.5,1.8,95,1.62,3704896896143012608,7.176599,25392571.984712478,5671.268579896523,7.3175607,16350501.600783614,13547.623989237318,6.978869,12978375.36498677,10799.170423238202,8.323419,8.265863000000001,8.380974,645.0,89.0,89.0,0.06000000000000005,0.039999999999999813,0.06000000000000005,417000000.0,89000000.0,8.620136054973758,0.09269114841580194,0.21484384804769785,0.015888822508655566,3.8943160626844384,0.9203017575198499
