HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,source_id,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,lum_val,lum_percentile_lower,lum_percentile_upper,age_up_diff,age_lo_diff,age_err,mass_up_diff,mass_lo_diff,mass_err,Age,Age_err,logAge,logAge_err,logMass,logMass_err,logTeff,logLum
16245,6796,231,4.31,0.14,,,848.0,1090.0,1518.0,546.0,2441.0,68,109.0,3548.0,95,483.0,1.32,1.32,1.3,1.2,1.4,68,1.2,1.5,95,1.35,4674061072553303040,4.563544,281792123.36302453,877397.2725688749,4.8333607,161142823.0159729,352398.76170552045,4.275525,156515711.33698267,606762.9837992865,5.1584406,5.133812,5.183069000000001,1593.0,302.0,302.0,0.07999999999999985,0.1200000000000001,0.07999999999999985,848000000.0,302000000.0,8.928395852256713,0.15466619520611088,0.1205739312058499,0.026320877691106116,3.832253370197008,0.712518433958677
16285,7884,268,3.94,0.14,,,705.0,866.0,904.0,668.0,1122.0,68,218.0,1296.0,95,967.0,1.72,1.71,1.66,1.6,1.8,68,1.5,2.0,95,1.9,4849306462764457344,5.6959605,99302930.69431362,68788.38689357572,5.8312697,64275775.59090807,133873.67157799227,5.523984,49564928.38033533,156297.38762346175,18.173939,18.07693,18.270948,417.0,37.0,37.0,0.08000000000000007,0.11999999999999988,0.08000000000000007,705000000.0,37000000.0,8.8481891169914,0.022792760043149382,0.23552844690754893,0.020199743344337308,3.8967466156074058,1.2594490660292619
16292,10049,342,4.06,0.14,182.0,0.0,146.0,179.0,270.0,112.0,387.0,68,27.0,434.0,95,371.0,2.26,2.25,2.22,2.1,2.3,68,2.1,2.5,95,2.46,448233374109147264,5.061783,178087353.1609929,426807.38235565217,5.109613,124942466.70268488,150188.68485383995,5.072371,75131073.68689455,339518.0954906763,,,,241.0,34.0,34.0,0.040000000000000036,0.1599999999999997,0.040000000000000036,146000000.0,34000000.0,8.164352855784436,0.10113707112815451,0.35410843914740087,0.007686627998287649,4.002122846225162,
16303,9226,314,4.19,0.14,116.0,0.0,477.0,507.0,508.0,443.0,605.0,68,282.0,708.0,95,389.0,2.22,2.24,2.17,2.0,2.4,68,1.9,2.6,95,2.06,450211563029092352,6.3921220000000005,52299515.37085675,16224.71562785215,6.425917,37169650.65979666,50374.27810903051,6.3645773000000005,22852677.331312723,58326.13754282887,,,,128.0,34.0,34.0,0.17999999999999972,0.2200000000000002,0.17999999999999972,477000000.0,34000000.0,8.678518379040113,0.030956000806521087,0.3463529744506387,0.0352130661002636,3.965013450272248,
16349,6690,227,4.12,0.14,,,2078.0,2181.0,2083.0,1413.0,3868.0,68,613.0,6494.0,95,1987.0,1.33,1.32,1.32,1.2,1.5,68,1.1,1.6,95,1.38,5060405101796270080,7.721189999999999,15376951.07355787,2261.149008017675,7.941660000000001,9202191.628796997,4760.40079822927,7.3930693,8862173.01394706,5225.111391803623,5.5581865,5.5311675000000005,5.5852056,1790.0,665.0,665.0,0.16999999999999993,0.13000000000000012,0.16999999999999993,2078000000.0,665000000.0,9.31764554322116,0.13898259406432262,0.12385164096708583,0.05551132475455095,3.8254261177678233,0.7449331150505627
16357,6853,233,4.17,0.14,,,1275.0,1501.0,1655.0,818.0,2985.0,68,205.0,5623.0,95,1566.0,1.34,1.34,1.32,1.2,1.5,68,1.1,1.6,95,1.41,237832203408333696,6.809986599999999,35591936.8642289,5862.362988488492,7.024296799999999,21420842.534659777,10964.971141399046,6.5020638,20134578.665818453,18541.83094539196,8.455456,8.4049,8.506012,1710.0,457.0,457.0,0.15999999999999992,0.14000000000000012,0.15999999999999992,1275000000.0,457000000.0,9.105510184769974,0.1556647672390479,0.12710479836480765,0.05185605754068675,3.8358807318173946,0.9271370339259051
16449,8884,302,4.33,0.14,66.0,0.0,384.0,487.0,570.0,352.0,694.0,68,100.0,772.0,95,91.0,1.98,1.96,1.91,1.8,2.1,68,1.8,2.2,95,1.86,5084963312478488960,6.3547373,54131670.517307,16271.272543625562,6.4279895,37098773.66842714,41465.45351357941,6.2758694,24798199.70926653,54176.348710539685,,,,310.0,32.0,32.0,0.1200000000000001,0.17999999999999994,0.1200000000000001,384000000.0,32000000.0,8.584331224367531,0.03619120682527098,0.2966651902615311,0.026320877691106193,3.9486085498764365,
16591,8724,297,4.43,0.14,,,252.0,311.0,466.0,187.0,674.0,68,42.0,794.0,95,14.0,1.86,1.85,1.83,1.8,1.9,68,1.7,2.1,95,1.95,236572025642774400,5.76203,93440285.24184434,99529.84608572136,5.844088,63521402.66703259,187068.5255195956,5.673943,43170873.46901869,83569.59974001319,,,,422.0,65.0,65.0,0.039999999999999813,0.06000000000000005,0.039999999999999813,252000000.0,65000000.0,8.401400540781545,0.11202040207821971,0.26951294421791633,0.009339666277489242,3.940715656906663,
16599,8383,285,3.98,0.14,,,721.0,739.0,739.0,653.0,854.0,68,529.0,988.0,95,770.0,2.04,2.02,1.97,1.8,2.2,68,1.7,2.4,95,2.01,448152697443908480,5.9452972,78927343.79857661,45475.031111231365,6.021329,53953996.79380552,108474.04790698054,5.8562336,36498458.04654511,54889.940869300895,,,,133.0,68.0,68.0,0.16000000000000014,0.24,0.16000000000000014,721000000.0,68000000.0,8.85793526471943,0.04095981244025121,0.3096301674258988,0.034062312306137425,3.9233994661587164,
16607,6522,222,4.08,0.14,,,1424.0,1778.0,2271.0,841.0,4870.0,68,183.0,7286.0,95,2408.0,1.18,1.17,1.13,1.1,1.3,68,1.0,1.3,95,1.36,5112042840759756032,6.929983999999999,31867839.97768255,8487.64324994593,7.1782265,18589367.61591878,31342.981002219098,6.589772999999999,18572003.347306624,66391.08984755202,3.669043,3.6534271,3.684659,3446.0,583.0,583.0,0.1200000000000001,0.07999999999999985,0.1200000000000001,1424000000.0,583000000.0,9.153509989300838,0.1778045526331431,0.07188200730612536,0.04416554053253412,3.814380794469938,0.5645528015769593
16611,12514,425,4.01,0.14,64.0,0.0,140.0,157.0,165.0,135.0,193.0,68,65.0,211.0,95,170.0,3.33,3.31,3.26,3.1,3.5,68,2.9,3.8,95,3.41,5100353485967689600,4.1907554,397231858.2705093,1284519.9590087426,4.203624,287809875.2858413,900474.013152639,4.323304,149777423.54098055,1318946.0918404844,,,,53.0,5.0,5.0,0.16999999999999993,0.22999999999999998,0.16999999999999993,140000000.0,5000000.0,8.146128035678238,0.015510517210830419,0.5224442335063199,0.022171189766832664,4.097396150641503,
16666,6818,232,4.18,0.14,,,1450.0,1728.0,1753.0,1214.0,2548.0,68,365.0,4217.0,95,1568.0,1.39,1.39,1.38,1.3,1.5,68,1.2,1.6,95,1.39,4861133909344681088,6.934772,31727625.54058788,6292.236655043779,7.154121000000001,19006708.160038,20891.501868073825,6.6363053,17792864.74284343,36504.58447982607,5.39481,5.3790054000000005,5.410615,1098.0,236.0,236.0,0.1100000000000001,0.08999999999999986,0.1100000000000001,1450000000.0,236000000.0,9.161368002234974,0.07068517084770166,0.14301480025409505,0.034368628064286144,3.833656996892872,0.7319761538558877
16692,6679,227,4.37,0.14,,,2397.0,2443.0,2207.0,1505.0,4316.0,68,891.0,6879.0,95,37.0,1.33,1.33,1.32,1.2,1.5,68,1.0,1.6,95,1.31,224436784527368704,7.7994466,14307626.808636395,5447.389647513306,8.032034,8467236.31914615,6597.091492083091,7.466523599999999,8282442.740323755,7834.9737905162065,3.5836797,3.5619697999999995,3.6053896,1919.0,892.0,892.0,0.16999999999999993,0.13000000000000012,0.16999999999999993,2397000000.0,892000000.0,9.379668034033655,0.16161480094188593,0.12385164096708583,0.05551132475455095,3.8247114434647345,0.5543291866098506
16696,6849,233,4.42,0.14,,,1155.0,1423.0,1655.0,866.0,2512.0,68,200.0,4097.0,95,38.0,1.36,1.36,1.35,1.3,1.5,68,1.2,1.6,95,1.35,4848147543149497216,7.719048,15407318.997411186,5851.5874908156775,7.945057,9173445.062699145,11526.688640416054,7.397836,8823349.724085465,15291.711355541023,4.2704263,4.250643,4.29021,1357.0,289.0,289.0,0.1399999999999999,0.06000000000000005,0.1399999999999999,1155000000.0,289000000.0,9.062581984228164,0.10866762361042404,0.13353890837021754,0.044706784901805297,3.8356271662098975,0.6304712311131828
16762,6489,221,4.25,0.14,,,2595.0,2497.0,2337.0,1741.0,3229.0,67,1496.0,5158.0,95,2174.0,1.41,1.4,1.41,1.2,1.5,68,1.1,1.7,95,1.25,4732706072137343744,7.989186,12013566.01130022,3849.667597040477,8.238866999999999,6998560.428115224,7454.780660979184,7.6294317,7128452.377611775,14583.262056432077,3.5395854,3.525254,3.5539167000000003,634.0,854.0,634.0,0.09000000000000008,0.20999999999999996,0.09000000000000008,2595000000.0,634000000.0,9.414137362184476,0.10610508729351122,0.14921911265537988,0.027720924376803333,3.8121777741587537,0.5489523950661483
16924,8333,283,4.37,0.14,,,364.0,460.0,659.0,302.0,849.0,68,67.0,944.0,95,17.0,1.78,1.77,1.75,1.7,1.8,68,1.6,2.0,95,1.73,42374048560382080,6.3680935,53469841.78969986,22962.15926217187,6.468632700000001,35735691.077220306,65343.56974576056,6.245869,25492962.88737696,46722.35628857325,,,,485.0,62.0,62.0,0.020000000000000018,0.08000000000000007,0.020000000000000018,364000000.0,62000000.0,8.561101383649056,0.07397323592857585,0.250420002308894,0.004879713279811822,3.920801381825654,
16942,6260,213,4.22,0.14,,,2006.0,2585.0,3398.0,1413.0,6131.0,68,290.0,7718.0,95,3683.0,1.13,1.12,1.1,1.0,1.2,68,1.0,1.3,95,1.18,4728825036609672576,8.221272,9701463.316135198,2609.193221225569,8.499636,5504285.3194989,6371.04194946579,7.831026,5920488.867438291,7352.342302135963,2.2689555,2.2436619,2.294249,4125.0,593.0,593.0,0.07000000000000006,0.1299999999999999,0.07000000000000006,2006000000.0,593000000.0,9.3023309286844,0.12838316439114072,0.05307844348341968,0.026903197994006773,3.7965743332104296,0.3558259783468309
16959,6818,232,4.34,0.14,,,958.0,1189.0,1518.0,535.0,2904.0,68,119.0,5158.0,95,33.0,1.29,1.29,1.3,1.2,1.4,68,1.1,1.5,95,1.36,4728825002249947904,6.850836,34277724.89455365,6753.912071617087,7.0775595,20395368.8395095,22487.05404564413,6.5427103,19394732.24694017,37382.548581341405,7.8524985,7.827615,7.877382300000001,1946.0,423.0,423.0,0.10999999999999988,0.09000000000000008,0.10999999999999988,958000000.0,423000000.0,8.981365509078545,0.19176050714517276,0.11058971029924897,0.037032862797951656,3.833656996892872,0.895007862110748
17017,7144,243,4.24,0.14,,,754.0,1000.0,1277.0,600.0,1768.0,68,126.0,2175.0,95,799.0,1.46,1.46,1.44,1.4,1.5,68,1.3,1.6,95,1.46,3251020935739457920,7.251545399999999,23698891.453781184,6028.809808378217,7.440424,14601103.884031624,19495.976361355977,6.979965700000001,12965276.558488162,23279.404380459084,6.080673,6.0473084,6.114038,1014.0,154.0,154.0,0.040000000000000036,0.06000000000000005,0.040000000000000036,754000000.0,154000000.0,8.877371345869774,0.08870205598554479,0.1643528557844371,0.011898478956253485,3.85394144588049,0.7839516490114113
17205,6138,209,4.04,0.14,,,2527.0,3175.0,4403.0,1984.0,6973.0,68,398.0,7943.0,95,4941.0,1.1,1.09,1.07,1.0,1.1,68,1.0,1.2,95,1.18,3247722091617851648,8.15602,10302399.008384705,2647.007110853076,8.435442,5839536.198257892,7271.2489721508,7.752211,6366246.874466113,9659.88830202284,1.8781129,1.8697579,1.8864679,4446.0,543.0,543.0,0.0,0.10000000000000009,0.0,2527000000.0,543000000.0,9.402605241919915,0.09332089579480242,0.04139268515822507,0.0,3.788026884095804,0.27372169569007004
17211,7358,250,3.99,0.14,,,985.0,1151.0,1206.0,928.0,1546.0,68,307.0,1884.0,95,1277.0,1.58,1.57,1.52,1.5,1.7,68,1.4,1.8,95,1.69,449986167444949248,6.766294500000001,37053440.25714318,7341.419137281228,6.941851600000001,23110778.80293545,33888.62121083372,6.523114700000001,19747955.21909513,35587.902355918486,11.432866,11.374433,11.4913,561.0,57.0,57.0,0.11999999999999988,0.08000000000000007,0.11999999999999988,985000000.0,57000000.0,8.993436230497611,0.025131761896939442,0.19865708695442263,0.032984391030626684,3.866759783495108,1.0581551133316254
17288,6216,211,3.82,0.14,,,3682.0,3812.0,3117.0,2772.0,5644.0,68,1884.0,7499.0,95,2552.0,1.21,1.2,1.13,1.1,1.3,68,1.0,1.4,95,1.49,5108377034634353408,7.684359599999999,15907518.405082792,6460.803555332866,7.9140105,9439546.626267504,47555.069865520665,7.2641196,9979759.051244082,77003.31184650585,6.706578,6.653560000000001,6.759595399999999,1962.0,910.0,910.0,0.09000000000000008,0.10999999999999988,0.09000000000000008,3682000000.0,910000000.0,9.566083784167995,0.10733513811297096,0.08278537031645007,0.032302895348175785,3.793511005792858,0.826500979959663
17395,8293,282,4.54,0.14,,,752.0,766.0,761.0,682.0,875.0,68,562.0,972.0,95,18.0,2.05,2.04,2.0,1.8,2.2,68,1.7,2.4,95,2.19,5116018880964324096,5.537223,114936257.2320664,182783.55557340247,5.6719303,74436019.71471596,141071.78251086848,5.3764606,56778476.02925573,183377.63915140103,8.075346000000001,8.02482,8.125872,123.0,70.0,70.0,0.15000000000000036,0.24999999999999978,0.15000000000000036,752000000.0,70000000.0,8.876217840591643,0.04042634804950482,0.31175386105575426,0.03177764501731118,3.9187116653823213,0.9071611393835135
17453,9967,339,4.4,0.14,110.0,0.0,379.0,385.0,381.0,349.0,433.0,68,295.0,475.0,95,9.0,2.66,2.64,2.59,2.4,2.8,68,2.3,3.1,95,2.27,63478624499091968,6.0676794,70513862.91240892,48146.37056731502,6.091526999999999,50576003.83636635,73068.4538873523,6.069915,29977960.65550605,61322.57463707582,,,,54.0,30.0,30.0,0.13999999999999968,0.26000000000000023,0.13999999999999968,379000000.0,30000000.0,8.578639209968072,0.034376871918463205,0.42488163663106704,0.02285760431069741,3.9985644582609416,
17470,6796,231,4.2,0.14,,,1057.0,1296.0,1562.0,546.0,3447.0,68,130.0,6310.0,95,1499.0,1.25,1.28,1.24,1.1,1.4,68,1.0,1.5,95,1.37,71576115320945664,6.6422496,41538081.83112907,12291.98642897254,6.8700438,24690947.053431764,54022.38730022904,6.32911,23611518.71242825,57943.77343468207,5.8465050000000005,5.8117323,5.881278,2390.0,511.0,511.0,0.1499999999999999,0.1499999999999999,0.1499999999999999,1057000000.0,511000000.0,9.024074987307426,0.2099569349598502,0.09691001300805642,0.05211533782839018,3.832253370197008,0.7668963254314602
17628,6750,229,4.22,0.14,,,2094.0,2025.0,1911.0,1435.0,2672.0,68,1189.0,4870.0,95,1521.0,1.48,1.47,1.46,1.3,1.6,68,1.1,1.8,95,1.35,4629094830844680320,7.911969999999999,12899063.186788578,4529.534974640434,8.136499,7690519.074291845,16098.67989975434,7.5985103,7334387.788556797,25035.99269877415,4.474648,4.455122,4.494174,578.0,659.0,578.0,0.1200000000000001,0.17999999999999994,0.1200000000000001,2094000000.0,578000000.0,9.320976677342824,0.11987689137539613,0.17026171539495738,0.03521306610026369,3.829303772831025,0.6507588770440363
17651,6590,224,4.1,0.14,,,1694.0,2000.0,2207.0,1223.0,4097.0,68,307.0,6310.0,95,2237.0,1.26,1.26,1.24,1.2,1.4,68,1.1,1.5,95,1.37,5087043652900059520,4.043963,454737829.2064966,2160706.974268265,4.3439193,252922588.16691333,325834.48212154856,3.7615216,251280832.84368208,965417.9752206476,5.4713707000000005,5.412810299999999,5.529931,2403.0,471.0,471.0,0.1399999999999999,0.06000000000000005,0.1399999999999999,1694000000.0,471000000.0,9.228913405994689,0.12075129927770459,0.10037054511756291,0.04825494243369461,3.8188854145940097,0.7380961403871323
17675,7085,241,4.4,0.14,,,808.0,1059.0,1353.0,625.0,1915.0,68,130.0,2441.0,95,31.0,1.44,1.44,1.44,1.4,1.5,68,1.3,1.6,95,1.41,251568642693543168,6.812614,35505916.74343659,8607.103118097917,7.00902,21724372.27135183,23411.56878549411,6.536121,19512803.067590244,23983.416049527423,4.746376000000001,4.728346299999999,4.7644057,1107.0,183.0,183.0,0.06000000000000005,0.040000000000000036,0.06000000000000005,808000000.0,183000000.0,8.907411360774587,0.09836125023303846,0.15836249209524964,0.018095603412635507,3.850339854583479,0.6763621393294991
17717,9001,306,3.91,0.14,22.0,0.0,387.0,487.0,539.0,355.0,649.0,68,112.0,729.0,95,582.0,2.03,2.04,1.97,1.9,2.1,68,1.8,2.3,95,2.29,5086958032728782848,5.1930885,157801397.25945997,286610.73261790426,5.26424,108357603.13419764,219922.6318628477,5.1718493,68553290.08235718,165006.71746510855,,,,262.0,32.0,32.0,0.07000000000000028,0.1299999999999999,0.07000000000000028,387000000.0,32000000.0,8.58771096501891,0.03591065483437741,0.3074960379132129,0.014975671789767366,3.954290761701127,
17764,6792,231,4.38,0.14,,,852.0,1035.0,1475.0,501.0,2585.0,68,106.0,4217.0,95,35.0,1.3,1.3,1.3,1.2,1.4,68,1.1,1.5,95,1.34,4629074455519836032,7.0222783,29270828.221380614,7107.635644127839,7.2502685,17395939.762806106,31561.48227983108,6.7127004,16583943.9943798,38958.509743366914,3.6866136,3.6781695,3.6950576,1733.0,351.0,351.0,0.09999999999999987,0.10000000000000009,0.09999999999999987,852000000.0,351000000.0,8.9304395947667,0.17891709289676216,0.11394335230683678,0.033407267838711625,3.831997677235896,0.5666276208765821
17827,6556,223,4.08,0.14,,,1283.0,1567.0,2083.0,774.0,3973.0,68,168.0,6310.0,95,2323.0,1.22,1.22,1.21,1.1,1.3,68,1.1,1.4,95,1.38,251192128678884352,7.2414913,23919367.14295436,5649.5080806318,7.4784007,14099214.052869704,13238.530863359609,6.9042606,13901567.99874952,16704.848065195438,4.5584430000000005,4.539149299999999,4.577737,2690.0,509.0,509.0,0.08000000000000007,0.11999999999999988,0.08000000000000007,1283000000.0,509000000.0,9.108226656374928,0.17229609609411936,0.08635983067474821,0.02847832668218047,3.8166389448984614,0.6588165286343105
17832,6826,232,3.74,0.14,,,1142.0,1343.0,1608.0,613.0,3652.0,68,145.0,6494.0,95,1418.0,1.27,1.27,1.24,1.1,1.4,68,1.0,1.5,95,1.78,66504755379545728,6.369063,53422119.06534883,15355.99848218661,6.590114999999999,31952827.61713476,71080.52164496247,6.0644817,30128351.599660754,48032.563472432616,15.444512,15.347948,15.541077,2510.0,529.0,529.0,0.1299999999999999,0.16999999999999993,0.1299999999999999,1142000000.0,529000000.0,9.05766610390983,0.20117493951560436,0.10380372095595687,0.04445534066726196,3.83416628394262,1.1887741904584213
17930,7609,259,4.2,0.14,,,1069.0,1074.0,1075.0,891.0,1296.0,68,717.0,1599.0,95,816.0,1.85,1.84,1.8,1.6,2.0,68,1.5,2.2,95,1.6,223572121709608832,6.5407066,45610372.04533185,12683.077019725906,6.697595,28941251.31067145,30225.686428027417,6.320108,23808101.08756318,29090.678383501803,11.114076,11.058504,11.169647,227.0,178.0,178.0,0.1499999999999999,0.25,0.1499999999999999,1069000000.0,178000000.0,9.028977705208778,0.0723147032542365,0.2671717284030138,0.03521306610026363,3.8813275841005512,1.045873362241314
17943,7336,249,4.14,0.14,,,635.0,804.0,1106.0,472.0,1579.0,68,100.0,2054.0,95,1150.0,1.5,1.5,1.49,1.4,1.6,68,1.3,1.7,95,1.56,219583230964526464,6.692351,39664853.802136414,7059.104052422334,6.869775,24697065.500223573,26022.31778891565,6.4396462,21326008.35267567,22107.85966700188,8.228163,8.191226,8.2651,944.0,163.0,163.0,0.10000000000000009,0.10000000000000009,0.10000000000000009,635000000.0,163000000.0,8.802773725291976,0.11148031582713393,0.17609125905568124,0.028952965460216806,3.8654593226619647,0.9153028864863921
17950,6581,224,4.18,0.14,,,1819.0,2175.0,2271.0,1269.0,4442.0,68,335.0,6879.0,95,2172.0,1.25,1.28,1.24,1.1,1.4,68,1.1,1.5,95,1.32,3250458054506860544,6.386326,52579443.95160115,7858.232960822085,6.6181564,31138144.90537747,26960.16925664516,6.054575,30404513.72511985,51402.42968507376,4.013008999999999,4.0021625,4.0238557,2623.0,550.0,550.0,0.1499999999999999,0.1499999999999999,0.1499999999999999,1819000000.0,550000000.0,9.259832699063484,0.13131498903066985,0.09691001300805642,0.05211533782839018,3.818291890799996,0.6034701337298402
17988,6657,226,4.26,0.14,,,1561.0,1848.0,2024.0,1090.0,3255.0,68,299.0,5623.0,95,1440.0,1.3,1.3,1.3,1.2,1.4,68,1.1,1.5,95,1.31,3270203565354460032,6.5602856,44795264.25931678,247391.86482393468,6.831314,25587599.36753552,463988.8121586556,6.243266,25554160.910696525,426762.2083033618,8.528791,8.469078999999999,8.588503999999999,1694.0,471.0,471.0,0.09999999999999987,0.10000000000000009,0.09999999999999987,1561000000.0,471000000.0,9.193402903062417,0.1310395265704238,0.11394335230683678,0.033407267838711625,3.8232785569516707,0.930887472053574
18011,6622,225,4.37,0.14,,,929.0,1122.0,1518.0,465.0,3477.0,68,106.0,5788.0,95,37.0,1.17,1.16,1.13,1.1,1.2,68,1.0,1.3,95,1.29,4830098200785875840,7.777583,14598662.352891449,5308.117783805167,8.015927,8593778.97521069,12873.808578324535,7.4415326,8475296.338945448,16250.14425706595,3.1019824000000003,3.0911827,3.112782,2548.0,464.0,464.0,0.030000000000000027,0.06999999999999984,0.030000000000000027,929000000.0,464000000.0,8.968015713993642,0.2169134979581365,0.06818586174616162,0.011135755946237235,3.8209891764160497,0.491639329388429
18122,6611,225,3.97,0.14,,,1452.0,1830.0,2083.0,957.0,3684.0,68,224.0,5957.0,95,2161.0,1.26,1.26,1.24,1.2,1.4,68,1.1,1.4,95,1.47,3246133194237648640,6.6160293,42553434.44512987,8138.971143754185,6.8564954,25000987.35271897,35606.090475657635,6.278137,24746467.10198133,39601.85734423037,9.719712,9.674486,9.764938,2232.0,495.0,495.0,0.1399999999999999,0.06000000000000005,0.1399999999999999,1452000000.0,495000000.0,9.161966616364074,0.1480549370124722,0.10037054511756291,0.04825494243369461,3.8202671571609645,0.987653396750985
18153,7135,243,4.1,0.14,,,559.0,694.0,1106.0,377.0,1631.0,68,77.0,2054.0,95,1391.0,1.43,1.44,1.44,1.4,1.5,68,1.3,1.6,95,1.53,5087544484743114240,7.004867999999999,29743974.6712632,6668.344676017372,7.1949396,18305408.14737288,17147.56703671809,6.731419,16300477.59354077,41026.17532851375,9.57954,9.536148,9.622932,1072.0,182.0,182.0,0.07000000000000006,0.030000000000000027,0.07000000000000006,559000000.0,182000000.0,8.747411807886424,0.14139820341036105,0.1553360374650618,0.021259170442816538,3.853393977450666,0.9813446551893891
18170,7085,241,4.27,0.14,,,1321.0,1437.0,1433.0,1179.0,1857.0,68,546.0,2441.0,95,528.0,1.53,1.52,1.46,1.4,1.6,68,1.3,1.8,95,1.44,43615122310787840,5.8682837,84729138.54548505,38603.45154064439,6.06532,51811627.01715138,61540.66023271797,5.589691,46654278.43493293,65202.47877050599,6.167807,6.145795,6.1898193,536.0,142.0,142.0,0.07000000000000006,0.13000000000000012,0.07000000000000006,1321000000.0,142000000.0,9.120902817614526,0.046684191090281414,0.1846914308175988,0.019869682178580164,3.850339854583479,0.7901307755250013
18255,5573,189,1.68,0.14,,,3569.0,4645.0,6401.0,3529.0,9007.0,68,1189.0,8913.0,95,83.0,1.04,1.03,5.5,1.0,1.1,68,1.0,1.1,95,5.62,3247046373003772032,4.4311414000000005,318338947.06196314,770382.6001619034,4.975636,141351621.65265337,220119.8084326053,3.8944554,222323738.9205885,531965.779865004,136.71538,133.10284,140.32791,5438.0,40.0,40.0,0.06000000000000005,0.040000000000000036,0.06000000000000005,3569000000.0,40000000.0,9.55254654795566,0.0048674080347800705,0.01703333929878037,0.025055450879033776,3.7460890430562004,2.135817373919763
18281,6505,221,4.2,0.14,,,1389.0,1682.0,2271.0,816.0,4856.0,68,173.0,7079.0,95,2362.0,1.17,1.17,1.13,1.1,1.3,68,1.0,1.3,95,1.28,5093969377860655872,8.484283,7614353.9467769535,2047.0781530272488,8.723841,4477328.524081128,3568.1474135835497,8.132545,4484869.515047756,5071.675042762819,3.2707808,3.251822,3.2897396,3467.0,573.0,573.0,0.13000000000000012,0.06999999999999984,0.13000000000000012,1389000000.0,573000000.0,9.142702245737615,0.1791581987981017,0.06818586174616162,0.048254942433694686,3.813247300897605,0.5146514397103339
18286,8408,286,4.42,0.14,,,34.0,32.0,31.0,29.0,32.0,29,24.0,42.0,89,17.0,8.62,8.8,8.55,8.3,8.6,58,8.3,8.6,58,1.82,4834818953960017792,6.859616,34001654.94463543,10868.755573307366,6.962225999999999,22681139.105187897,36384.33247904936,6.743325,16122704.643224765,26510.684640365293,,,,2.0,5.0,2.0,0.019999999999999574,0.3199999999999985,0.019999999999999574,34000000.0,2000000.0,7.531478917042255,0.025546734229603043,0.9355072658247128,0.0010076438095202845,3.924692703020186,
18334,6906,235,4.45,0.14,,,774.0,922.0,1277.0,422.0,2441.0,68,89.0,4217.0,95,37.0,1.31,1.31,1.3,1.2,1.4,68,1.1,1.5,95,1.38,3246147865845959936,7.638749000000001,16590009.901606131,3966.982559122349,7.8555055,9962150.851076627,8462.977743073707,7.320589,9473977.12370065,12057.873220012229,7.626622699999999,7.574127000000001,7.679117999999999,1667.0,352.0,352.0,0.08999999999999986,0.1100000000000001,0.08999999999999986,774000000.0,352000000.0,8.888740960682892,0.19750860158907574,0.11727129565576427,0.02983702547426916,3.8392265740134355,0.8823322617471597
18388,6249,212,3.97,0.14,,,1825.0,2279.0,3302.0,1223.0,5957.0,68,237.0,7499.0,95,3335.0,1.12,1.11,1.07,1.0,1.2,68,1.0,1.2,95,1.33,3246552451764804992,6.933634,31760890.99008319,6977.4426454281775,7.209941000000001,18054226.02757513,19717.66185501013,6.551464,19238996.11716577,54928.26671874013,3.1545074,3.1448624,3.1641524,4132.0,602.0,602.0,0.07999999999999985,0.1200000000000001,0.07999999999999985,1825000000.0,602000000.0,9.261262868792494,0.1432576866332918,0.04921802267018165,0.03102103442166078,3.7958105246674085,0.4989315505327446
18412,6434,219,4.11,0.14,,,1465.0,1791.0,2476.0,891.0,5012.0,68,188.0,7286.0,95,2682.0,1.16,1.15,1.13,1.1,1.2,68,1.0,1.3,95,1.32,5084140053146324096,8.22622,9657353.328998594,3090.8694703267,8.477117999999999,5619638.09139315,7454.656713645579,7.865047,5737850.342555879,7127.408688220078,3.024003,3.0063438,3.0416622,3547.0,574.0,574.0,0.040000000000000036,0.05999999999999983,0.040000000000000036,1465000000.0,574000000.0,9.165837624690129,0.17016043181738327,0.06445798922691845,0.014975671789767317,3.808481056565951,0.4805822176766555
18420,6208,211,3.82,0.14,,,3680.0,3723.0,3117.0,2691.0,5313.0,68,2054.0,6879.0,95,2586.0,1.25,1.23,1.18,1.1,1.3,68,1.0,1.5,95,1.49,4841691863705863680,8.006317,11825498.762440056,3384.0181937616967,8.2843275,6711573.03090349,9300.40093977128,7.623303,7168807.373296197,19618.3573159599,3.4904013,3.4758668,3.5049357000000003,1633.0,989.0,989.0,0.050000000000000044,0.1499999999999999,0.050000000000000044,3680000000.0,989000000.0,9.565847818673518,0.11671664201149891,0.09691001300805642,0.017371779276130084,3.792951708250132,0.5428753617317781
