RA,DEC,Star_name,Cluster_name,Age_Myr,DistancePC,V,B-V,V-I,J,H,Ks,2mass_quality,V-Ks,spectral_type,ref,binarity,L_X,L_X_err,L_x_upper_lim,Lx_ref,P_rot,P_rot_err,P_rot_upper_lim,P_rot_ref,data_origin,Mass,Radius,Teff,d(r),Lbol,log(Lx/Lbol),HD,HIP,Gliese,var_name,2mass_name,logTeff,logLum,logMass,logAge_wright,logA_boss,e_logA_boss,E_logA_boss,age_up_diff,age_lo_diff,logA_err,logAge
51.848300,48.372200,AP_56,aPersei,85,172.2,13.00,0.900,-,-,-,-,-,1.939,-,-,-,29.658,-,-,P03,0.36,-,-,P03,P03,0.815,0.7194,4692,0.684,0.2573,-3.338,-,-,-,-,-,3.671358003443492,-0.5895602137896534,-0.08884239126002341,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
51.962620,49.202780,AP_63,aPersei,85,172.2,12.29,0.820,-,10.513,9.993,9.860,AAA,2.167,-,-,-,29.748,-,-,P03,0.22,-,-,P03,P03,0.953,0.8467,5192,1.0,0.5351,-3.566,-,-,-,V0534_Per,03275103+4912099,3.715334683792313,-0.2715650490257452,-0.02090709936167361,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
52.077830,48.663390,AP_70,aPersei,85,172.2,12.83,0.880,-,10.999,10.484,10.331,AAA,2.236,-,-,-,29.618,-,-,P03,6.4,-,-,P03,P03,0.86,0.7595,4862,0.698,0.3334,-3.491,-,-,-,V0488_Per,03281868+4839482,3.6868149545073168,-0.4770344045080135,-0.06550154875643228,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
52.093920,49.241470,AP_72,aPersei,85,172.2,12.78,0.870,-,10.942,10.477,10.383,AAA,2.134,-,-,-,28.638,-,-,P03,6.3,-,-,P03,P03,0.862,0.7613,4870,0.698,0.3368,-4.475,-,-,-,V0630_Per,03282253+4914292,3.6875289612146345,-0.4726279171723881,-0.0644927341752872,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
52.197630,49.274440,AP_75,aPersei,85,172.2,13.82,1.170,-,11.144,10.509,10.284,AAA,3.273,-,-,-,29.368,-,-,P03,2.82,-,-,P03,P03,0.79,0.6978,4604,0.684,0.2238,-3.568,-,-,-,-,03284743+4916280,3.663135314957754,-0.6501399178076688,-0.10237290870955855,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
52.202000,49.198390,AP_117,aPersei,85,172.2,13.05,0.850,-,11.038,10.432,10.336,AAA,2.451,-,-,-,29.828,-,-,P03,0.47,-,-,P03,P03,0.837,0.7391,4776,0.684,0.2946,-3.227,-,-,-,V0536_Per,03284848+4911542,3.6790643181213127,-0.5307672574933879,-0.07727454200674003,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
52.619600,47.641100,AP_197,aPersei,85,172.2,12.31,0.900,-,-,-,-,-,1.939,-,-,-,29.458,-,-,P03,5.62,-,-,P03,P03,0.934,0.8277,5126,0.698,0.4859,-3.814,-,-,-,-,-,3.709778601848225,-0.31345310093699374,-0.029653123769906618,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
52.937000,49.551030,AP_189,aPersei,85,172.2,13.05,0.840,-,10.999,10.425,10.310,AAA,2.477,-,-,-,29.958,-,-,P03,0.63,-,-,P03,P03,0.838,0.7403,4781,0.684,0.2969,-3.101,-,-,-,-,03314487+4933036,3.6795187436957892,-0.5273898024039554,-0.0767559813697235,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
53.042100,49.141900,AP_193,aPersei,85,172.2,12.28,0.790,-,10.496,10.076,9.972,AAA,2.045,-,-,-,30.238,-,-,P03,0.74,-,-,P03,P03,0.944,0.8385,5164,0.698,0.5139,-3.059,-,-,-,V0689_Per,03321022+4908287,3.712986233594383,-0.28912138231482704,-0.02502800570193105,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
53.127880,49.176310,AP_118,aPersei,85,172.2,12.06,0.710,-,10.331,9.859,9.767,AAA,2.03,-,-,-,30.078,-,-,P03,0.32,-,-,P03,P03,0.988,0.8815,5313,1.0,0.6253,-3.304,-,-,-,V0537_Per,03323069+4910346,3.725339815909737,-0.2039115713193315,-0.005243055412371884,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
53.185170,47.693110,AP_199,aPersei,85,172.2,12.10,0.880,-,10.223,9.734,9.588,AAA,2.249,-,-,-,29.928,-,-,P03,1.82,-,-,P03,P03,1.0,0.8934,5354,1.0,0.6562,-3.475,-,-,-,-,03324443+4741351,3.728678366850914,-0.1829637739499711,0.0,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
53.212830,49.845560,AP_201,aPersei,85,172.2,13.08,1.040,-,10.787,10.277,10.138,AAA,2.679,-,-,-,29.788,-,-,P03,3.75,-,-,P03,P03,0.842,0.7432,4793,0.684,0.3026,-3.279,-,-,-,V0538_Per,03325108+4950439,3.680607428991788,-0.5191310763128321,-0.07468790850035051,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
53.622100,49.363100,AP_212,aPersei,85,172.2,13.24,0.870,-,11.273,10.754,10.581,AAA,2.396,-,-,-,29.388,-,-,P03,7.1,-,-,P03,P03,0.806,0.7115,4659,0.684,0.2424,-3.582,-,-,-,-,03342934+4921434,3.668292710448221,-0.6154673845057514,-0.09366495819490933,7.929418925714293,7.938,7.944,7.933,0.004999999999999893,0.006000000000000227,0.004999999999999893,7.938
